INSTITUIÇÃO;SIGLA.INSTITUIÇÃO;UNIDADE;SIGLA.UNIDADE;username;ID Associado;cod_auxiliar;;;;;;;;;;;;;;;
CENTRO DE ENSINO SUPERIOR EM GESTÃO, TECNOLOGIA E EDUCAÇÃO;FAI;DEPARTAMENTO DE ENGENHARIA DE PRODUÇÃO;DEP;faimg_oficial;Não encontrado;faimg_oficial;;;;;;;;;;;;;;;
UNIVERSIDADE POTIGUAR;UNP;CAMPUS MOSSORÓ;CAMPUS MOSSORÓ;universidadepotiguar;2201;2201;;;;;;;;;;;;;;;
ESCOLA DE EDUCAÇÃO SUPERIOR SÃO JORGE;FCDA;TATUAPÉ;FCDA;grupodrummond;1926;1926;;;;;;;;;;;;;;;
CENTRO EDUCACIONAL INTEGRADO;CEI;ENGENHARIA CIVIL;ENGENHARIA CIVIL;abeprooficial;Não encontrado;abepro;;;;;;;;;;;;;;;
FACULDADE SETE DE SETEMBRO;FA7;UNI7;UNI7;uni7oficial;2211;2211;;;;;;;;;;;;;;;
FUNDAÇÃO MUNICIPAL DE ENSINO DE PIRACICABA;FUMEP;ESCOLA DE ENGENHARIA DE PIRACICABA;EEP;eep.fumep;2202;2202;;;;;;;;;;;;;;;
SOCIEDADE DE EDUCAÇÃO TIRADENTES S/A;UNIT;MACEIÓ;UNIT;unit_al;2144;2144;;;;;;;;;;;;;;;
CENTRO UNIVERSITÁRIO CHRISTUS;UNICHRISTUS;NÚCLEO DE TECNOLOGIA;NUTEC;unichristus;1914;1914;;;;;;;;;;;;;;;
UNIVERSIDADE DE BRASÍLIA;UNB;DEPARTAMENTO DE ENGENHARIA DE PRODUÇÃO;DEP EPR;unb_oficial;;unb_oficial;;;;;;;;;;;;;;;
INSTITUTO TOCANTINENSE PRESIDENTE ANTÔNIO CARLOS;ITPAC;ITPAC ARAGUAÍNA;ITPAC ARAGUAÍNA;itpacportooficial;2209;2209;;;;;;;;;;;;;;;
UNIVERSIDADE UNIGRANRIO;UNIGRANRIO;UNIVERSIDADE UNIGRANRIO;UNIGRANRIO;unigranrio;1919;1919;;;;;;;;;;;;;;;
UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA;UFRB;-;-;ufrb_edu ;;ufrb_edu ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
